CITY,STATE,ZIP,Latitude,Longitude,Campaign
SICKLERVILLE,NJ,080811628,39.7858,-74.9889,We Want You More
TOMS RIVER,NJ,087536792,39.954639,-74.198456,We Want You More
CHERRY HILL,NJ,080023028,39.9384,-75.0212,We Want You More
BERLIN,NJ,080099682,39.813904,-74.918632,We Want You More
MARLTON,NJ,08053,39.89582,-74.940255,We Want You More
HAMMONTON,NJ,080378420,39.589451,-74.79756,We Want You More
RIVERSIDE,NJ,080753918,40.016622,-74.958571,We Want You More
VINELAND,NJ,083604746,39.4852,-75.024981,We Want You More
CAMDEN,NJ,081032920,39.947992,-75.126154,We Want You More
HI NELLA,NJ,080832648,39.878371,-74.921073,We Want You More
HAGERSTOWN,MD,217401573,39.641668,-77.727098,We Want You More
CAMDEN,NJ,081041822,39.925027,-75.113577,We Want You More
SOMERSET,NJ,088734834,40.502147,-74.501706,We Want You More
WILLINGBORO,NJ,08046,40.029735,-74.883789,We Want You More
WALLINGFORD,PA,190867114,39.22517,-75.52384,We Want You More
WILLINGBORO,NJ,080463168,40.029735,-74.883789,We Want You More
RIDGEFIELD PARK,NJ,076601080,40.848045,-74.012261,We Want You More
CHICO,CA,959730242,39.636204,-121.719074,We Want You More
PENNSAUKEN,NJ,081103747,39.935267,-75.051823,We Want You More
MEDFORD,NJ,080559304,39.89575,-74.888058,We Want You More
BLACKWOOD,NJ,080124833,39.832803,-75.030849,We Want You More
PLAINFIELD,NJ,070602641,40.60408,-74.424492,We Want You More
CHERRY HILL,NJ,08034,39.934555,-75.013203,We Want You More
MAPLE SHADE,NJ,080521864,39.948211,-75.035646,We Want You More
WILLINGBORO,NJ,080463707,40.029735,-74.883789,We Want You More
MAPLE SHADE,NJ,08052,39.948115,-75.030413,We Want You More
PENNSAUKEN,NJ,081103519,39.93471,-75.062679,We Want You More
CAMDEN,NJ,08105,39.93471,-75.062679,We Want You More
PENNSAUKEN,NJ,081091728,39.963198,-75.074154,We Want You More
JACKSON,NJ,085272416,40.137776,-74.362832,We Want You More
WOODBRIDGE,NJ,07095,40.55358,-74.28743,We Want You More
PHILA,PA,191531536,39.886917,-75.248495,We Want You More
TOLLESBORO,KY,411898522,38.571751,-83.578872,We Want You More
BRIDGETON,NJ,083023841,39.426241,-75.236241,We Want You More
CHERRY HILL,NJ,080021841,39.934611,-74.966666,We Want You More
MONROE TOWNSHIP,NJ,08831,40.284156,-74.416166,We Want You More
MOUNT LAUREL,NJ,080544501,39.934329,-74.918848,We Want You More
EDISON,NJ,088372921,40.55319,-74.36065,We Want You More
SHAMONG,NJ,080889686,39.840267,-74.671888,We Want You More
DELRAN,NJ,080751349,40.026255,-74.939829,We Want You More
CAMDEN,NJ,08102,39.944193,-75.118589,We Want You More
CHERRY HILL,NJ,080033942,39.935252,-74.974333,We Want You More
WOOLWICH TOWNSHIP,NJ,080854025,39.75303,-75.25834,We Want You More
CAMDEN,NJ,08105,39.949935,-75.12103,We Want You More
MOUNT LAUREL,NJ,080541323,39.943345,-74.935337,We Want You More
WILLIAMSTOWN,NJ,080946303,39.631433,-74.979538,We Want You More
EGG HARBOR TOWNSHIP,NJ,082345403,39.347027,-74.554234,We Want You More
COLLINGSWOOD,NJ,081083048,39.918217,-75.072119,We Want You More
PENNSAUKEN,NJ,081093511,39.926658,-74.995393,We Want You More
PENNSAUKEN,NJ,08110,39.953946,-75.003587,We Want You More
MUMBAI,,,19.081074,72.852848,We Want You More
WESTVILLE,NJ,080931144,39.919088,-75.084334,We Want You More
MUMBAI,,,19.203334,72.835139,We Want You More
PLEASANTVILLE,NJ,082323452,39.340163,-74.507012,We Want You More
MUMBAI,,,19.078302,72.873213,We Want You More
MUMBAI,,,19.116352,72.845173,We Want You More
NASHIK,,,19.974324,73.774369,We Want You More
CHERRY HILL,NJ,080021055,39.92954,-74.989865,We Want You More
THANE,,,19.197335,72.962969,We Want You More
GLOUCESTER CITY,NJ,080301620,39.894027,-75.107716,We Want You More
MEMPHIS,TN,381065430,35.141137,-90.017205,We Want You More
MUMBAI,,,19.075107,72.877164,We Want You More
MUMBAI,,,19.052171,72.847017,We Want You More
SEWELL,NJ,080802599,39.745715,-75.095181,We Want You More
PENNSAUKEN,NJ,08110,39.949147,-75.046227,We Want You More
ROEBLING,NJ,085541117,40.097407,-74.7863,We Want You More
OAKLYN,NJ,081071231,39.914324,-75.063448,We Want You More
GLASSBORO,NJ,08028,39.456547,-75.121981,We Want You More
PENNSAUKEN,NJ,081101729,39.956929,-75.009108,We Want You More
BLACKWOOD,NJ,080124708,39.706013,-75.069903,We Want You More
BELLMAWR,NJ,080312813,39.916024,-75.109883,We Want You More
RANDOLPH,NJ,078691234,40.773824,-74.576054,We Want You More
RUNNEMEDE,NJ,080781726,39.868899,-75.071077,We Want You More
FLORENCE,NJ,085184024,40.116846,-74.847167,We Want You More
SOMERDALE,NJ,08083,39.866021,-75.078838,We Want You More
MAPLE SHADE,NJ,08052,39.938127,-75.018568,We Want You More
BURLINGTON,NJ,080162283,40.092507,-74.878653,We Want You More
JIM THORPE,PA,18229,40.928082,-75.705345,We Want You More
MOUNT LAUREL,NJ,080546113,39.943122,-74.938384,We Want You More
CINNAMINSON,NJ,08077,40.017896,-74.973652,We Want You More
CAMDEN,NJ,081022308,39.938569,-75.106232,We Want You More
PENNSAUKEN,NJ,081091606,39.947255,-75.025966,We Want You More
EGG HARBOR TOWNSHIP,NJ,08234,39.351786,-74.574793,We Want You More
BEVERLY,NJ,08010,40.095047,-74.862704,We Want You More
MERCHANTVILLE,NJ,081092062,39.930331,-75.024474,We Want You More
MILLSTONE TOWNSHIP,NJ,085351221,40.155167,-74.583346,We Want You More
MARLTON,NJ,080531019,39.910383,-74.932774,We Want You More
DEPTFORD,NJ,080966454,39.849328,-75.097254,We Want You More
MAPLE SHADE,NJ,080521926,39.941214,-75.0423,We Want You More
HADDON HEIGHTS,NJ,080351021,39.872649,-75.067235,We Want You More
BRIDGETON,NJ,083025729,39.428086,-75.247046,We Want You More
MEMPHIS,TN,38109,35.151707,-90.008867,We Want You More
EDISON,NJ,088372078,40.530105,-74.367843,We Want You More
BURLINGTON,NJ,080163952,40.090716,-74.83725,We Want You More
NORTH BRUNSWICK,NJ,089023057,40.418504,-74.450655,We Want You More
VINELAND,NJ,08360,39.490653,-75.031226,We Want You More
SILVER SPRING,MD,209047300,39.085705,-77.038014,We Want You More
ATLANTIC CITY,NJ,08401,39.364831,-74.427059,We Want You More
CAMDEN,NJ,08103,,,We Want You More
BURLINGTON,NJ,08016,,,We Want You More
MARLTON,NJ,08053,,,We Want You More
MOORESTOWN,NJ,080573332,,,We Want You More
WEST DEPTFORD,NJ,08096,,,We Want You More
BLACKWOOD,NJ,08012,,,We Want You More
CAMDEN,NJ,08104,,,We Want You More
SOUTH PLAINFIELD,NJ,070802771,,,We Want You More
BURLINGTON,NJ,080161708,,,We Want You More
ATCO,NJ,080041104,,,We Want You More
HAMILTON,NJ,08620,,,We Want You More
CAMDEN,NJ,081054046,,,We Want You More
MOUNT LAUREL,NJ,080541024,,,We Want You More
WILLIAMSTOWN,NJ,080943910,,,We Want You More
BEVERLY,NJ,080102562,,,We Want You More
BRIDGETON,NJ,083027143,,,We Want You More
DEMAREST,NJ,076271539,,,We Want You More
RIVERSIDE,NJ,080754114,,,We Want You More
BURLINGTON,NJ,080161031,,,We Want You More
DEPTFORD,NJ,080966024,,,We Want You More
BURLINGTON,NJ,080163875,,,We Want You More
VINELAND,NJ,083616408,,,We Want You More
CAMDEN,NJ,081054401,,,We Want You More
CINNAMINSON,NJ,080771561,,,We Want You More
MARLTON,NJ,080531926,,,We Want You More
MAPLE SHADE,NJ,080528468,,,We Want You More
WILLINGBORO,NJ,080463639,,,We Want You More
MONTCLAIR,NJ,070432415,,,We Want You More
BLACKWOOD,NJ,08012,,,We Want You More
HAMILTON,NJ,086105336,,,We Want You More
HADDON HEIGHTS,NJ,080351026,,,We Want You More
CAMDEN,NJ,08104,,,We Want You More
WILLIAMSTOWN,NJ,080945728,,,We Want You More
LAUREL SORINGS,NJ,080212869,,,We Want You More
NEWARK,NJ,07104,,,We Want You More
MEMPHIS,TN,38106,,,We Want You More
MOORESTOWN,NJ,080571007,,,We Want You More
STATEN ISLAND,NY,10302,,,We Want You More
SICKLERVILLE,NJ,080819362,,,We Want You More
CAMDEN,NJ,08102,,,We Want You More
TURNERSVILLE,NJ,080121107,,,We Want You More
CHERRY HILL,NJ,080343334,,,We Want You More
MARLTON,NJ,08053,,,We Want You More
CAMDEN,NJ,081051519,,,We Want You More
VOORHEES,NJ,080434843,,,We Want You More
BLACKWOOD,NJ,08012,,,We Want You More
CINNAMINSON,NJ,080772142,,,We Want You More
CHERRY HILL,NJ,080031710,,,We Want You More
PHILADELPHIA,PA,191143807,,,We Want You More
VINELAND,NJ,083606413,,,We Want You More
OCEAN CITY,NJ,08226,,,We Want You More
MEDFORD,NJ,08055,,,We Want You More
SICKLERVILLE,NJ,080811341,,,We Want You More
MARLBORO,NJ,077461551,,,We Want You More
CLAYTON,NJ,083121821,,,We Want You More
NEWARK,NJ,071063309,,,We Want You More
WOOLWICH TOWNSHIP,NJ,080852539,,,We Want You More
MARLTON,NJ,08053,,,We Want You More
MAPLE SHADE,NJ,080523316,,,We Want You More
PALMYRA,NJ,080652342,,,We Want You More
CHERRY HILL,NJ,080343351,,,We Want You More
PINE HILL,NJ,080215536,,,We Want You More
VOORHEES,NJ,080432181,,,We Want You More
TABERNACLE,NJ,080889748,,,We Want You More
ATCO,NJ,08004,,,We Want You More
PENNSAUKEN,NJ,081101827,,,We Want You More
TRENTON,NJ,08611,,,We Want You More
NEW BRUNSWICK,NJ,089013430,,,We Want You More
CHERRY HILL,NJ,080022965,,,We Want You More
MAPLE SHADE,NJ,080523207,,,We Want You More
MAGNOLIA,NJ,080491043,,,We Want You More
CAMDEN,NJ,,,,We Want You More
AUDUBON,NJ,081062140,,,We Want You More
MEMPHIS,TN,38107,,,We Want You More
DEPTFORD,NJ,080964747,,,We Want You More
RUNNEMEDE,NJ,080781219,,,We Want You More
GLOUCSTR CITY,NJ,080301619,,,We Want You More
PHILADELPHIA,PA,19123,,,We Want You More
CHERRY HILL,NJ,080341710,,,We Want You More
MEMPHIS,TN,381122412,,,We Want You More
MOUNT LAUREL,NJ,08054,,,We Want You More
MAPLE SHADE,NJ,08052,,,We Want You More
BROOKLYN,NY,112081007,,,We Want You More
PENNSAUKEN,NJ,08110,,,We Want You More
OAKLYN,NJ,081071103,,,We Want You More
PERTH AMBOY,NJ,088611609,,,We Want You More
SOUTH RIVER,NJ,088822129,,,We Want You More
SICKLERVILLE,NJ,080815650,,,We Want You More
SOUTHAMPTON,NJ,080883532,,,We Want You More
VOORHEES,NJ,080433708,,,We Want You More
LOGAN TOWNSHIP,NJ,080851343,,,We Want You More
PENNSAUKEN,NJ,081101239,,,We Want You More
FORKED RIVER,NJ,087312923,,,We Want You More
WILLINGBORO,NJ,080461717,,,We Want You More
CAPE MAY COURT HOUSE,NJ,08210,,,We Want You More
BELLMAWR,NJ,080311649,,,We Want You More
CINNAMINSON,NJ,08077,,,We Want You More
MAPLE SHADE,NJ,080521477,,,We Want You More
CAMDEN,NJ,081053941,,,We Want You More
SICKLERVILLE,NJ,080819394,,,We Want You More
CAMDEN,NJ,081022013,,,We Want You More
PENNSAUKEN,NJ,08110,,,We Want You More
PALMYRA,NJ,080651730,,,We Want You More
GLASSBORO,NJ,08028,,,We Want You More
CAMDEN,NJ,,,,We Want You More
MERCHANTVILLE,NJ,08109,,,We Want You More
PITMAN,NJ,080712230,,,We Want You More
CAMDEN,NJ,081042108,,,We Want You More
BERLIN,NJ,080097110,,,We Want You More
FORT MILL,SC,297087008,,,We Want You More
FAIRFIELD,NJ,070041873,,,We Want You More
ELIZABETH,NJ,072061611,,,We Want You More
OLD BRIDGE,NJ,088573641,,,We Want You More
LAUREL,MD,20724,,,We Want You More
CLAYTON,NJ,08312,,,We Want You More
HADDON TOWNSHIP,NJ,081081706,,,We Want You More
CHERRY HILL,NJ,08034,,,We Want You More
CAMDEN,NJ,081051148,,,We Want You More
